timestamp,event,placement,COP_x,COP_y,total_pressure
2023-10-27 15:02:18.200000+02:00,Tug_Event.start,,,,
2023-10-27 15:02:18.200000+02:00,Tug_Event.stand,,12,78,37374.0
2023-10-27 15:02:19.700000+02:00,Tug_Event.walk1,,4,73,29042.0
2023-10-27 15:02:20+02:00,Tug_Event.foot,Placement.left,19,48,28475.0
2023-10-27 15:02:20.100000+02:00,Tug_Event.foot,Placement.left,19,48,28475.0
2023-10-27 15:02:20.200000+02:00,Tug_Event.foot,Placement.left,19,48,29032.0
2023-10-27 15:02:20.300000+02:00,Tug_Event.foot,Placement.left,19,47,29902.0
2023-10-27 15:02:20.400000+02:00,Tug_Event.heel,Placement.left,20,42,28142.0
2023-10-27 15:02:20.500000+02:00,Tug_Event.heel,Placement.right,16,31,49432.0
2023-10-27 15:02:20.700000+02:00,Tug_Event.foot,Placement.right,9,14,34055.0
2023-10-27 15:02:20.800000+02:00,Tug_Event.foot,Placement.right,9,14,35307.0
2023-10-27 15:02:20.900000+02:00,Tug_Event.foot,Placement.right,9,14,35307.0
2023-10-27 15:02:21+02:00,Tug_Event.foot,Placement.right,9,13,37402.0
2023-10-27 15:02:21.100000+02:00,Tug_Event.heel,Placement.left,12,9,52617.0
2023-10-27 15:02:21.400000+02:00,Tug_Event.foot,Placement.left,10,17,25254.0
2023-10-27 15:02:21.500000+02:00,Tug_Event.foot,Placement.left,10,19,23929.0
2023-10-27 15:02:21.600000+02:00,Tug_Event.foot,Placement.left,10,21,25162.0
2023-10-27 15:02:21.700000+02:00,Tug_Event.foot,Placement.left,10,23,24317.0
2023-10-27 15:02:21.800000+02:00,Tug_Event.heel,Placement.right,14,33,38933.0
2023-10-27 15:02:22+02:00,Tug_Event.foot,Placement.right,23,52,32583.0
2023-10-27 15:02:22.100000+02:00,Tug_Event.foot,Placement.right,23,52,33437.0
2023-10-27 15:02:22.600000+02:00,Tug_Event.turn1,,12,68,47954.0
2023-10-27 15:02:24.400000+02:00,Tug_Event.walk2,,16,55,37558.0
2023-10-27 15:02:25.100000+02:00,Tug_Event.foot,Placement.right,8,32,32219.0
2023-10-27 15:02:25.200000+02:00,Tug_Event.heel,Placement.left,10,20,39256.0
2023-10-27 15:02:25.400000+02:00,Tug_Event.foot,Placement.left,10,0,48692.0
2023-10-27 15:02:25.500000+02:00,Tug_Event.foot,Placement.left,10,0,50088.0
2023-10-27 15:02:25.600000+02:00,Tug_Event.foot,Placement.left,10,1,52132.0
2023-10-27 15:02:25.700000+02:00,Tug_Event.foot,Placement.left,9,1,41004.0
2023-10-27 15:02:25.800000+02:00,Tug_Event.foot,Placement.left,9,3,32172.0
2023-10-27 15:02:26+02:00,Tug_Event.foot,Placement.right,20,31,28289.0
2023-10-27 15:02:26.100000+02:00,Tug_Event.foot,Placement.right,20,32,29154.0
2023-10-27 15:02:26.200000+02:00,Tug_Event.foot,Placement.right,20,33,29585.0
2023-10-27 15:02:26.300000+02:00,Tug_Event.foot,Placement.right,21,35,27952.0
2023-10-27 15:02:26.800000+02:00,Tug_Event.foot,Placement.right,13,62,49892.0
2023-10-27 15:02:26.900000+02:00,Tug_Event.foot,Placement.right,13,62,50511.0
2023-10-27 15:02:27+02:00,Tug_Event.foot,Placement.left,12,61,53396.0
2023-10-27 15:02:27.300000+02:00,Tug_Event.foot,Placement.left,8,73,52878.0
2023-10-27 15:02:27.400000+02:00,Tug_Event.foot,Placement.left,8,73,52878.0
2023-10-27 15:02:27.500000+02:00,Tug_Event.foot,Placement.left,8,73,51294.0
2023-10-27 15:02:27.600000+02:00,Tug_Event.foot,Placement.left,8,73,53042.0
